action,landmark,variation,order,goal,task_id
open door to foundry,False,28,0,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to foundry,False,28,1,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to outside,False,28,2,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to outside,False,28,3,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to green house,False,28,4,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to green house,False,28,5,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,28,6,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,28,7,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to living room,False,28,8,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to living room,False,28,9,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,28,10,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,28,11,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to bedroom,False,28,12,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to bedroom,False,28,13,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,28,14,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,28,15,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to workshop,False,28,16,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to workshop,False,28,17,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,28,18,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,28,19,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to art studio,False,28,20,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
go to art studio,False,28,21,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing red paint in art studio in cup containing nothing,False,28,22,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing blue paint in art studio in cup containing red paint in table,False,28,23,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
mix cup containing blue paint and red paint,False,28,24,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
focus on paint in cup containing violet paint,False,28,25,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
wait1,True,28,26,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing violet paint in cup containing violet paint,False,28,27,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
open cupboard,False,28,28,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing red paint in cup containing violet paint,False,28,29,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
mix cup containing red paint and violet paint,False,28,30,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
focus on paint in cup containing violet-red paint,False,28,31,Your task is to use chemistry to create violet-red paint,task-5-chemistry-mix-paint-(tertiary-color)
