num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps,drrn_model_file,nli_model
11,0,1,225,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,0,1,226,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
9,0,1,227,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
9,50,1,228,True,75,0,75,False,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,50,1,229,True,75,0,75,False,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
9,0,1,230,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,0,1,231,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,0,1,232,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
9,0,1,233,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,0,1,234,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,0,1,235,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
9,0,1,236,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,0,1,237,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,0,1,238,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
11,0,1,239,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
7,0,1,240,False,100,0,100,True,2,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
5,0,1,241,False,100,0,100,True,2,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
7,0,1,242,False,100,0,100,True,2,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
5,0,1,243,False,100,0,100,True,2,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
7,0,1,244,False,100,0,100,True,2,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
5,0,1,245,False,100,0,100,True,2,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
7,0,1,246,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
7,0,1,247,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
9,0,1,248,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
7,0,1,249,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
7,0,1,250,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
7,0,1,251,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
9,0,1,252,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
9,0,1,253,False,100,0,100,True,3,41,100,242,models/models_task13/model-steps32000-eps242.pt,roberta-large-mnli
