action,landmark,variation,order,goal,task_id
open door to hallway,True,22,0,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to hallway,True,22,1,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to kitchen,True,22,2,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to kitchen,True,22,3,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
pick up thermometer,True,22,4,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open cupboard,True,22,5,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
pick up metal pot,True,22,6,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open drawer in cupboard,True,22,7,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open drawer in counter,True,22,8,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open freezer,True,22,9,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open oven,True,22,10,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open glass jar,True,22,11,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open fridge,True,22,12,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to bathroom,True,22,13,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to bathroom,True,22,14,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to kitchen,True,22,15,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to kitchen,True,22,16,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to outside,True,22,17,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to outside,True,22,18,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to foundry,True,22,19,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to foundry,True,22,20,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to outside,True,22,21,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to outside,True,22,22,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to green house,True,22,23,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
go to green house,True,22,24,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
open door to hallway,True,22,25,Your task is to change the state of matter of tin,task-1-change-the-state-of-matter-of
