p,h,output,model
"In your inventory, you see: an orange ",you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in hallway,1,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in hallway,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in hallway,0,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in art studio,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in art studio,1,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in bedroom,0,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a chair. On the chair is: nothing.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a couch. On the couch is: a white pillow.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a desk. On the desk is: a drawer.,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
You see a painting,you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
A door to the hallway (that is open),you are in bedroom,2,MoritzLaurer/MiniLM-L6-mnli
"In your inventory, you see: an orange ",you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
This room is called the living room.,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see the agent,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
You see a substance called air,you are in greenhouse,2,MoritzLaurer/MiniLM-L6-mnli
